SNP1	SNP2	SNP3	chi2	P-value
10	20	30	137.347217	0
10	30	271	105.111840	0
10	30	969	105.076048	0
10	30	472	101.021207	0
10	30	513	100.825781	0
10	30	679	100.781313	0
10	30	401	100.669998	0
10	30	520	100.619481	0
10	30	719	100.593442	0
10	30	909	100.510355	0
10	30	556	100.283465	0
10	30	196	99.637848	0
10	30	905	99.118910	0
10	30	837	98.928628	0
10	30	130	98.882440	0
10	30	192	98.806836	0
10	30	83	98.643077	0
10	30	886	98.392821	0
10	30	894	98.068114	0
10	30	729	97.962769	0
10	30	194	97.771366	0
10	30	775	97.605729	0
10	30	727	97.561126	0
10	30	67	97.511387	0
10	30	362	97.398339	0
10	30	256	97.175150	0
10	30	76	97.144670	0
10	30	68	97.106643	0
10	30	860	96.835041	0
10	30	604	96.762373	0
10	30	563	96.675720	0
10	30	150	96.444532	0
10	30	522	96.435187	0
10	30	871	96.403740	0
10	30	277	96.351406	0
10	30	281	96.220820	0
10	30	149	96.096974	0
10	30	744	95.999580	0
10	30	265	95.981343	0
10	30	441	95.895533	0
10	30	693	95.835837	0
10	30	777	95.497835	0
10	30	781	95.477442	0
10	30	463	95.400727	0
10	30	156	95.343748	0
10	30	46	95.338298	0
10	30	73	95.206084	0
10	30	948	95.154126	0
10	30	75	95.068069	0
10	30	450	94.815199	0
10	30	264	94.667026	0
10	30	452	94.593607	0
10	30	966	94.521923	1.11022e-16
10	30	676	94.474527	1.11022e-16
10	30	633	94.455535	1.11022e-16
10	30	335	94.154628	1.11022e-16
10	30	704	94.146429	1.11022e-16
10	30	751	94.105282	1.11022e-16
10	30	796	94.092884	1.11022e-16
10	30	537	93.891844	1.11022e-16
10	30	732	93.852980	1.11022e-16
10	30	586	93.818994	1.11022e-16
10	30	163	93.790018	1.11022e-16
10	30	203	93.736462	1.11022e-16
10	30	757	93.709437	1.11022e-16
10	30	766	93.684724	1.11022e-16
10	30	795	93.682309	1.11022e-16
10	30	317	93.670552	1.11022e-16
10	30	642	93.527374	1.11022e-16
10	20	67	93.467380	1.11022e-16
10	30	545	93.389989	1.11022e-16
10	30	406	93.367315	1.11022e-16
10	30	628	93.303238	1.11022e-16
10	30	687	93.285200	1.11022e-16
10	30	566	93.278766	1.11022e-16
10	30	979	93.188083	1.11022e-16
10	30	372	93.138503	1.11022e-16
10	30	306	93.129443	1.11022e-16
10	30	206	93.122117	1.11022e-16
10	30	793	93.118521	1.11022e-16
10	30	430	93.114440	1.11022e-16
10	30	384	92.889553	1.11022e-16
10	30	660	92.855631	1.11022e-16
10	30	619	92.846863	1.11022e-16
10	30	197	92.829043	1.11022e-16
10	30	873	92.789396	1.11022e-16
10	30	229	92.730469	1.11022e-16
10	30	367	92.719009	1.11022e-16
0	10	30	92.688354	1.11022e-16
10	30	953	92.670083	1.11022e-16
10	30	950	92.594034	1.11022e-16
10	30	553	92.455921	1.11022e-16
10	30	147	92.344799	1.11022e-16
10	30	984	92.331265	1.11022e-16
10	30	33	92.222382	1.11022e-16
10	30	309	92.220850	1.11022e-16
10	30	678	92.172488	2.22045e-16
10	30	759	92.171236	2.22045e-16
10	30	200	92.098420	2.22045e-16
10	30	61	92.075376	2.22045e-16
